CONCAT,Model,AMT,BHP Material,BHP Description,BHP Location,CONCAT2,
785CWC1290 - UNIT INJECTOR-00 - (NONE),785CWC,1290 - UNIT INJECTOR-00 - (NONE),10883558,"INJECTOR GRP,FUEL,REMAN,CAT 20R0849",,785CWC10883558,
785CWC1803 - AIR COMPRESSOR-00 - (NONE),785CWC,1803 - AIR COMPRESSOR-00 - (NONE),10970416,"COMPRESSOR,REMAN,CAT 0R9626",,785CWC10970416,
785CWC1052 - TURBOCHARGER-00 - (NONE),785CWC,1052 - TURBOCHARGER-00 - (NONE),11343358,"TURBO GRP,SX,CAT 20R3423",,785CWC11343358,
785D5070 - PISTON PUMP-00 - (NONE),785D,5070 - PISTON PUMP-00 - (NONE),10883578,"PUMP GRP,HYD,REMAN,CAT 10R9089",,785D10883578,
785DWC,785DWC,,11175661,"DRIVE,ACCESSORY,SX,WESTRAC 3936232X",,785DWC11175661,
"785DWC4008 - FINAL DRIVE, BRAKE & WHEEL-RR - RIGHT REAR",785DWC,"4008 - FINAL DRIVE, BRAKE & WHEEL-RR - RIGHT REAR",11175658,"WHEEL,BRK,SX,WESTRAC 3178378X",Rear RH,785DWC11175658Rear RH,
"785DWC4008 - FINAL DRIVE, BRAKE & WHEEL-LR - LEFT REAR",785DWC,"4008 - FINAL DRIVE, BRAKE & WHEEL-LR - LEFT REAR",11175658,"WHEEL,BRK,SX,WESTRAC 3178378X",Rear LH,785DWC11175658Rear LH,
"785DWC4008 - FINAL DRIVE, BRAKE & WHEEL-RR - RIGHT REAR",785DWC,"4008 - FINAL DRIVE, BRAKE & WHEEL-RR - RIGHT REAR",10720149,"MODULE,WHEEL GRP,BRK,785,CAT 3178378MOD",Rear RH,785DWC10720149Rear RH,
"785DWC4008 - FINAL DRIVE, BRAKE & WHEEL-RR - RIGHT REAR",785DWC,"4008 - FINAL DRIVE, BRAKE & WHEEL-RR - RIGHT REAR",10720149,"MODULE,WHEEL GRP,BRK,785,CAT 3178378MOD",Rear LH,785DWC10720149Rear LH,
785DWC3251 - UNIVERSAL JOINT-00 - (NONE),785DWC,3251 - UNIVERSAL JOINT-00 - (NONE),10680731,"JOINT,REMAN,CAT 10R5186",,785DWC10680731,
785DWC1000 - ENGINE-00 - (NONE),785DWC,1000 - ENGINE-00 - (NONE),10720152,"MODULE,ENG,ASSY,785D,CAT 3659313MOD",,785DWC10720152,
785DWC1361 - WATER PUMP-00 - (NONE),785DWC,1361 - WATER PUMP-00 - (NONE),10001772,"PUMP GRP,H2O,SX,CAT 10R1669",,785DWC10001772,
785DWC1290 - UNIT INJECTOR-00 - (NONE),785DWC,1290 - UNIT INJECTOR-00 - (NONE),10525927,"INJECTOR,REMAN,CAT 20R0864",,785DWC10525927,
785DWC1052 - TURBOCHARGER-00 - (NONE),785DWC,1052 - TURBOCHARGER-00 - (NONE),10680870,"TURBOCHARGER GRP,REMAN,CAT 10R8799",,785DWC10680870,
18,18,,10001041,"SEAL,RECTANGULAR,CAT 1P3703",,1810001041,
18,18,,10001051,"BEARING,CAT 2K5254",,1810001051,
785DWC5073 - GEAR PUMP-00 - (NONE),785DWC,5073 - GEAR PUMP-00 - (NONE),10883830,"PUMP GRP,GEAR,REMAN,CAT 0R7822",,785DWC10883830,
785DWC1453 - ELECTRIC STARTING MOTOR-00 - (NONE),785DWC,1453 - ELECTRIC STARTING MOTOR-00 - (NONE),10883828,"MOTOR,ELEC,REMAN,CAT 10R9816",,785DWC10883828,
785DWC5070 - PISTON PUMP-00 - (NONE),785DWC,5070 - PISTON PUMP-00 - (NONE),10883578,"PUMP GRP,HYD,REMAN,CAT 10R9089",,785DWC10883578,
785DWC1359 - FAN DRIVE-00 - (NONE),785DWC,1359 - FAN DRIVE-00 - (NONE),11175071,"DRIVE,FAN,SX,WESTRAC 1720218X",,785DWC11175071,
"785DWC4008 - FINAL DRIVE, BRAKE & WHEEL- NO SIDE",785DWC,"4008 - FINAL DRIVE, BRAKE & WHEEL- NO SIDE",11175658,"WHEEL,BRK,SX,WESTRAC 3178378X",,785DWC11175658,
785DWC3101 - TORQUE CONVERTER-00 - (NONE),785DWC,3101 - TORQUE CONVERTER-00 - (NONE),10314689,"TORQUE CONVERTER GRP,CAT 1173357",,785DWC10314689,
789C1273 - FUEL TANK-00 - (NONE),789C,1273 - FUEL TANK-00 - (NONE),10736952,"MODULE,TANK ASSY,FUEL,789,CAT 1333419MOD",,789C10736952,
789C5073 - GEAR PUMP-00 - (NONE),789C,5073 - GEAR PUMP-00 - (NONE),10013301,"PUMP,TRANSMISSION,SCAVENGE,CAT 6T6147",,789C10013301,
789C1052 - TURBOCHARGER-00 - (NONE),789C,1052 - TURBOCHARGER-00 - (NONE),10327312,"TURBOCHARGER GRP,REMAN,CAT 10R0430",,789C10327312,
789C1361 - WATER PUMP-00 - (NONE),789C,1361 - WATER PUMP-00 - (NONE),10868184,"PUMP GRP,WATER,REMAN,CAT,10R1669",,789C10868184,
789C1052 - TURBOCHARGER-00 - (NONE),789C,1052 - TURBOCHARGER-00 - (NONE),10883502,"TURBO GRP,BASIC,REMAN,CAT 10R2844",,789C10883502,
789C1290 - UNIT INJECTOR-00 - (NONE),789C,1290 - UNIT INJECTOR-00 - (NONE),10883558,"INJECTOR GRP,FUEL,REMAN,CAT 20R0849",,789C10883558,
789C5073 - GEAR PUMP-00 - (NONE),789C,5073 - GEAR PUMP-00 - (NONE),10680935,"PUMP GRP,GEAR,REMAN,CAT 10R7967",,789C10680935,
789C1256 - FUEL TRANSFER PUMP-00 - (NONE),789C,1256 - FUEL TRANSFER PUMP-00 - (NONE),10883497,"PUMP GRP,FUEL TRANSFER,REMAN,CAT 10R9838",,789C10883497,
789C1361 - WATER PUMP-00 - (NONE),789C,1361 - WATER PUMP-00 - (NONE),10883500,"PUMP GRP,WATER,REMAN,CAT,20R8812",,789C10883500,
789C1803 - AIR COMPRESSOR-00 - (NONE),789C,1803 - AIR COMPRESSOR-00 - (NONE),10970416,"COMPRESSOR,REMAN,CAT 0R9626",,789C10970416,
793C,793C,,10693685,"PUMP GRP,REMAN,CAT 10R7977",,793C10693685,
793C1290 - UNIT INJECTOR-00 - (NONE),793C,1290 - UNIT INJECTOR-00 - (NONE),10883604,"INJECTOR GRP,FUEL,REMAN,CAT 20R0850",,793C10883604,
"793C4008 - FINAL DRIVE, BRAKE & WHEEL-LR - LEFT REAR",793C,"4008 - FINAL DRIVE, BRAKE & WHEEL-LR - LEFT REAR",10889918,"DRIVE,FINAL,SX,HASTDEER 3345492X",Rear LH,793C10889918Rear LH,
793C1052 - TURBOCHARGER-00 - (NONE),793C,1052 - TURBOCHARGER-00 - (NONE),10889972,"TURBOCHARGER,REMAN,CAT 20R9728",,793C10889972,
793C,793C,,10066817,"PUMP,GP,CAT 0R7658",,793C10066817,
